BID NUMBER,NO CUT STREET OUTLYING AREAS,,,,,,SECTION,,,,,COMPLETED,,
DEL MARINO ST,,MOJAVE,,,,,,,PECOS,,,,,
EL CEDRO CIR,,DEL MARINO,,,,,,,290'S DEL MARINO,,,,,
EL ROBEL CIR,,DEL MARINO,,,,,,,195'S DEL MARINO,,,,,
PECOS RD,,DESERT INN,,,,,,,PECOS WAY,,,,,
ROSARIO CIR,,PECOS,,,,,,,410'W PECOS,,,,,
"PULVERIZE & PAVE - TWAIN AND JONES AREA
DUNEVILLE AND VIKING – WITHIN SPRING VALLEY",,,,,,,,,,,,,,
STREET,,,,FROM,,,,TO,,,,,,
BUHL CT,,,,DUNEVILLE,,,,370'W DUNEVILLE,,,,,,
COOLCREST CT,,,,SADDLE,,,,200'N SADDLE,,,,,,
DUNEVILLE ST,,,,SADDLE,,,,320'N SADDLE,,,,,,
DUNEVILLE ST,,,,VIKING,,,,320’N KATIE,,,,,,
DUNEVILLE CT,,,,DUNEVILLE,,,,390'W DUNEVILLE,,,,,,
GLORY CT,,,,SADDLE,,,,200'N SADDLE,,,,,,
KATIE AVE,,,,160'E MOONGATE,,,,LINDELL,,,,,,
KEYSTONE CT,,,,SADDLE,,,,200'N SADDLE,,,,,,
LEISURE LA,,,,405'S KATIE,,,,KATIE,,,,,,
MICHELIN CIR,,,,RED ROCK,,,,350'E RED ROCK,,,,,,
RED ROCK ST,,,,100'N LONE CREEK,,,,VIKING,,,,,,
RED ROCK ST,,,,THOR,,,,200'S THOR,,,,,,
SADDLE AVE,,,,LINDELL,,,,DUNEVILLE,,,,,,
WALDORF CT,,,,SADDLE,,,,200'S SADDLE,,,,,,
"PULVERIZE & PAVE – MARYLAND PKWY AND HACIENDA AREA
HACIENDA AND SPENCER – PARADISE AREA",,,,,,,,,,,,,,
STREET,,FROM,,,,,,,TO,,,,,
CALIENTE CT,,CALIENTE ST,,,,,,,125'E CALIENTE ST,,,,,
CALIENTE ST,,HACIENDA,,,,,,,60’N RAYHIDE,,,,,
CLYDESDALE ST,,RAWHIDE,,,,,,,HACIENDA,,,,,
JEFFREYS ST,,750'N RENO,,,,,,,TROPICANA,,,,,
LATIGO ST,,RAWHIDE,,,,,,,WHIPPLETREE,,,,,
LINDERO PL,,SANDALWOOD,,,,,,,590'N SANDALWOOD,,,,,
PAPAYA CT,,CALIENTE,,,,,,,145'E CALIENTE,,,,,
RAWHIDE ST,,CLYDESDALE,,,,,,,EASTERN,,,,,
RENO AVE,,310'E MARYLAND,,,,,,,SPENCER,,,,,
SANDALWOOD LA,,CALIENTE,,,,,,,SPENCER,,,,,
TAMARUS ST,,HACIENDA,,,,,,,TROPICANA,,,,,
WHIPPLETREE AVE,,CLYDESDALE,,,,,,,LATIGO,,,,,
CAREY AVENUE - RADWICK DRIVE - SUNRISE MANOR AREA,,,,,,,,,,,,,,
STREET,,,,,FROM,,,,,TO,,,,
APPLETON DR,,,,,EXETER,,,,,EASEMENT,,,,
DUNSBACH WY,,,,,EXETER,,,,,EASEMENT,,,,
EASEMENT LN,,,,,APPLETON,,,,,MENDON,,,,
ENFIELD CIR,,,,,KILGORE,,,,,100'S KILGORE,,,,
EXETER DR,,,,,MENDON,,,,,APPLETON,,,,
FALLONA AVE,,,,,HOLLYWOOD,,,,,RADWICK,,,,
HOPKINS DR,,,,,EXETER,,,,,EASEMENT,,,,
ISSAC AVE,,,,,EXETER,,,,,EASEMENT,,,,
JUDSON AVE,,,,,HOLLYWOOD,,,,,RADWICK,,,,
KEPLER DR,,,,,EXETER,,,,,EASEMENT,,,,
KILGORE DR,,,,,RADWICK,,,,,EASEMENT,,,,
LARONDA LN,,,,,HOLLYWOOD,,,,,RADWICK,,,,
LEGALLA LN,,,,,HOLLYWOOD,,,,,RADWICK,,,,
MENDON LN,,,,,EXETER,,,,,EASEMENT,,,,
SOLARON AVE,,,,,HOLLYWOOD,,,,,RADWICK,,,,
SOLDELA DR,,,,,HOLLYWOOD,,,,,RADWICK,,,,
TIFFOLLO LN,,,,,HOLLYWOOD,,,,,EXETER,,,,
BONANZA ROAD - CHRISTY LANE - SUNRISE MANOR AREA,,,,,,,,,,,,,,
STREET,,,,,FROM,,,,,TO,,,,
BLACK ROCK WY,,,,,PINE RIDGE,,,,,WIND RIVER,,,,
DAMON DR,,,,,WALNUT,,,,,JEFF,,,,
INDIAN WELLS RD,,,,,PINE RIDGE,,,,,WIND RIVER,,,,
JEFF DR,,,,,DAMON,,,,,BETTY,,,,
LEROY DR,,,,,JEFF,,,,,LOWELL,,,,
LOWELL AVE,,,,,LEROY,,,,,BETTY,,,,
MESA DR,,,,,PINE RIDGE,,,,,RIATA,,,,
MESA DR,,,,,RED LAKE,,,,,WIND RIVER,,,,
PINE RIDGE DR,,,,,INDIAN WELLS,,,,,BLACK ROCK,,,,
RED LAKE WY,,,,,INDIAN WELLS,,,,,MESA,,,,
RIATA WY,,,,,BONANZA,,,,,AWBURY,,,,
WIND RIVER DR,,,,,CEDAR,,,,,BLACK ROCK,,,,
"RAWHIDE STREET - SANDHILL ROAD
SANDHILL MEADOWS & MONTEREY ESTATES",,,,,,,,,,,,,,
